Ser,locations,sites,Season,Date,Temperature oC,Conductivity µS/cm,Salinity %0,D.O mg/l,pH,Turbidity NTU,TSS mg/l,Ammonia µg/l,Nitrate  µg/l,Nitrite  µg/l,Phosphate  µg/l,Silicate  µg/l,Alkalinity as CaCO3 mg/l,Chlorophyl-? µg/l,Hydrocarbon µg/l,TOC mg/l,
482,Al Gazara,12,3,8-Jul-12,31.27," 63,392 ",42.58,5.42,8.11,1.17,2.47,13.641,3.806,0.068,0.332,31.052,120.97,0.466,4.235,,
483,Dam,13,3,8-Jul-12,31.47," 63,454 ",42.63,5.43,8.12,1.05,2.95,12.432,2.553,0.527,0.509,36.041,120.11,0.980,0.416,,
484,Fa'ash,11,3,8-Jul-12,31.10," 63,615 ",42.76,5.48,8.10,2.13,4.72,14.208,9.224,0.620,1.170,31.448,118.87,1.625,1.054,,
485,Marina Club,15,3,8-Jul-12,30.46," 66,640 ",45.15,5.42,8.04,2.44,4.52,14.607,11.513,2.052,4.770,23.289,118.26,2.586,0.846,,
486,Qita’at Jaradah,14,3,8-Jul-12,30.89," 62,685 ",42.06,5.49,8.12,1.22,2.87,12.279,1.815,0.196,0.166,64.097,116.41,0.326,0.477,,
487,Suhain,10,3,8-Jul-12,30.58," 63,860 ",42.98,5.49,8.07,1.90,4.56,15.402,10.884,2.608,1.792,33.617,118.81,0.563,0.228,,
488,Al Gaha,9,3,9-Jul-12,30.52," 63,583 ",42.75,5.83,8.09,1.27,5.89,12.437,13.411,1.515,2.444,27.535,118.32,0.004,1.181,,
489,Askar,6,3,9-Jul-12,29.35," 64,046 ",43.17,5.65,8.11,4.37,7.54,9.972,0.000,0.625,2.491,34.409,120.05,0.756,1.970,,
490,Bapco,8,3,9-Jul-12,30.35," 64,177 ",43.20,5.19,8.07,2.31,6.95,21.272,4.674,1.594,1.972,38.988,118.20,0.431,2.758,,
491,Fasht Tighalib,4,3,9-Jul-12,30.00," 64,342 ",43.35,5.30,8.04,0.99,2.93,16.789,4.030,0.924,1.286,49.994,116.78,0.195,0.616,,
492,Ghumais,5,3,9-Jul-12,30.13," 64,509 ",43.47,5.51,8.09,1.25,3.94,11.876,0.981,0.000,1.579,62.414,113.07,0.260,1.590,,
493,Jabbari,3,3,9-Jul-12,30.23," 64,900 ",43.77,5.31,8.07,0.82,2.53,10.081,2.611,1.384,0.904,39.925,117.58,0.439,1.581,,
494,Mashtan,2,3,9-Jul-12,30.49," 65,186 ",44.00,5.43,8.06,1.43,3.01,14.608,0.000,0.552,0.941,70.554,118.01,0.233,0.435,,
495,Msoor,7,3,9-Jul-12,30.34," 63,968 ",43.06,6.01,8.09,1.43,5.05,14.842,0.000,1.160,1.461,34.056,117.89,0.088,0.836,,
496,Qassar Noon,1,3,9-Jul-12,30.02," 70,048 ",47.80,5.22,8.02,1.08,3.33,13.016,6.662,2.424,0.453,105.689,121.28,0.390,1.933,,
497,Al Jarim,16,3,10-Jul-12,31.21," 62,568 ",41.96,5.50,8.05,1.23,0.09,14.859,1.418,0.524,0.373,22.004,115.79,0.101,0.238,,
498,Khor fasht,17,3,10-Jul-12,31.13," 65,420 ",44.15,5.44,8.04,1.59,1.49,10.697,14.211,0.987,0.856,4.208,118.57,0.513,0.224,,
499,Marwada,18,3,10-Jul-12,31.03," 67,898 ",46.06,5.29,8.01,1.31,1.93,13.912,2.232,1.249,0.751,7.762,118.14,0.527,0.244,,
500,Al Jasra,23,3,11-Jul-12,31.63," 74,694 ",51.39,5.26,8.02,1.41,4.47,16.879,9.449,1.685,0.314,60.067,117.95,0.000,0.989,,
501,Bartafi,19,3,11-Jul-12,30.92," 72,629 ",49.78,5.13,8.00,1.42,3.13,10.396,20.863,2.263,0.391,35.150,120.23,0.292,0.217,,
502,Jazirat Ya’suf,22,3,11-Jul-12,30.99," 76,274 ",52.69,5.29,7.98,1.23,3.21,12.797,3.471,1.229,0.903,152.984,124.05,0.105,1.312,,
503,Qassar,20,3,11-Jul-12,31.10," 76,477 ",52.84,5.13,8.00,1.13,3.98,8.952,1.457,0.535,0.267,108.501,121.46,0.045,1.553,,
504,Umm Al na'asan,21,3,11-Jul-12,30.91," 76,459 ",52.84,5.21,8.01,1.23,3.32,13.555,4.281,0.927,1.686,161.062,121.34,0.247,0.234,,
505,Al Gaha,9,4,7-Oct-12,32.26," 64,458 ",43.34,6.25,8.24,1.33,3.46,12.523,8.930,1.529,3.521,25.402,120.91,1.064,0.613,,
506,Al Gazara,12,4,7-Oct-12,31.80," 64,348 ",43.30,5.55,8.21,0.77,3.49,6.318,10.116,0.056,0.025,13.845,118.75,1.234,2.433,,
507,Fa'ash,11,4,7-Oct-12,31.68," 64,230 ",43.21,5.60,8.23,0.47,2.98,6.459,12.706,0.000,0.026,40.141,120.35,0.563,0.205,,
508,Qita’at Jaradah,14,4,7-Oct-12,31.64," 64,347 ",43.39,5.02,8.13,1.02,3.01,6.715,14.787,0.607,0.000,26.026,117.51,1.776,0.457,,
509,Suhain,10,4,7-Oct-12,31.82," 64,550 ",43.44,5.17,8.19,3.70,6.33,13.536,15.886,1.843,2.146,64.423,117.89,4.240,0.213,,
510,Askar,6,4,8-Oct-12,31.75," 64,533 ",43.44,5.50,8.18,4.02,5.56,13.751,17.475,1.107,2.232,41.268,118.75,2.174,0.232,,
511,Bapco,8,4,8-Oct-12,31.97," 64,122 ",42.88,5.27,8.10,2.32,3.90,19.917,19.482,3.015,2.640,15.965,120.48,4.701,1.099,,
512,Fasht Tighalib,4,4,8-Oct-12,31.51," 65,472 ",44.17,5.45,8.14,1.31,3.96,14.950,22.518,2.716,1.752,67.253,116.66,0.913,0.236,,
513,Ghumais,5,4,8-Oct-12,31.72," 65,401 ",44.07,5.35,8.13,1.21,2.55,13.780,11.354,2.117,1.785,84.855,114.87,1.078,0.440,,
514,Jabbari,3,4,8-Oct-12,31.64," 66,265 ",44.80,5.39,8.14,1.10,0.10,13.054,24.706,2.493,0.991,87.675,118.07,0.837,0.233,,
515,Mashtan,2,4,8-Oct-12,31.63," 66,592 ",45.05,5.08,8.11,1.52,3.87,15.491,17.926,2.833,1.559,75.957,119.00,1.497,0.239,,
516,Msoor,7,4,8-Oct-12,31.68," 64,347 ",43.31,5.15,8.15,1.83,3.38,16.450,8.332,0.546,2.764,43.450,118.81,0.963,0.647,,
517,Qassar Noon,1,4,8-Oct-12,31.51," 70,899 ",48.41,4.52,8.04,1.43,3.40,23.647,41.228,4.299,1.441,103.130,119.92,0.911,0.464,,
518,Al Jarim,16,4,9-Oct-12,31.32," 62,495 ",41.79,5.61,8.17,1.26,3.13,9.247,4.043,0.000,0.252,1.758,120.85,1.022,0.444,,
519,Khor fasht,17,4,9-Oct-12,30.85," 67,972 ",46.11,5.02,8.08,0.75,4.20,14.702,13.334,0.572,0.055,37.108,121.44,0.347,0.692,,
520,Marina Club,15,4,9-Oct-12,32.01," 65,958 ",44.53,5.66,8.18,1.43,3.92,10.904,11.392,2.737,3.488,31.171,115.75,5.043,0.240,,
521,Marwada,18,4,9-Oct-12,31.14," 69,280 ",47.14,5.32,8.14,0.94,4.17,13.181,15.091,0.691,0.000,25.205,121.09,0.436,0.226,,
522,Al Jasra,23,4,10-Oct-12,31.25," 78,912 ",54.76,4.84,8.09,1.42,4.65,12.012,22.585,1.970,0.199,65.761,117.65,0.531,0.453,,
523,Bartafi,19,4,10-Oct-12,31.24," 73,000 ",50.47,5.01,8.03,1.29,4.64,12.270,41.824,2.095,0.051,36.531,120.63,0.523,0.222,,
524,Jazirat Ya’suf,22,4,10-Oct-12,31.26," 78,122 ",54.16,5.48,8.12,1.29,3.84,12.127,3.685,0.370,0.294,52.946,123.80,1.024,0.446,,
525,Qassar,20,4,10-Oct-12,31.28," 77,949 ",54.02,5.29,8.12,1.21,3.50,7.944,10.766,0.271,0.000,52.369,123.39,0.438,0.468,,
526,Umm Al na'asan,21,4,10-Oct-12,31.26," 78,122 ",54.16,5.48,8.12,0.95,4.29,12.544,13.436,0.302,0.457,64.516,125.47,0.633,0.482,,
527,Al Gaha,9,1,20-Jan-13,17.45," 63,468 ",42.90,10.40,8.48,1.63,5.15,15.592,13.255,1.007,1.877,4.019,119.94,0.119,1.187,,
528,Askar,6,1,20-Jan-13,16.59," 63,937 ",43.24,7.85,8.29,1.64,3.48,12.034,6.961,0.656,0.149,13.364,120.98,0.538,1.696,,
529,Bapco,8,1,20-Jan-13,17.19," 63,172 ",42.70,7.46,8.27,1.26,3.40,25.395,20.779,1.960,1.149,41.908,118.56,0.911,2.496,,
530,Fasht Tighalib,4,1,20-Jan-13,16.63," 66,134 ",44.92,7.90,8.30,0.89,6.00,18.231,4.393,0.646,1.143,11.127,116.03,0.093,2.137,,
531,Ghumais,5,1,20-Jan-13,16.08," 64,301 ",43.51,8.05,8.32,1.54,2.96,14.028,1.702,0.505,0.748,6.902,117.99,0.148,1.872,,
532,Jabbari,3,1,20-Jan-13,16.36," 66,280 ",45.04,7.92,8.30,1.16,3.23,14.728,7.037,0.363,0.698,10.210,116.72,0.216,1.432,,
533,Mashtan,2,1,20-Jan-13,16.35," 68,760 ",47.12,7.99,8.31,0.96,3.81,16.759,0.863,0.417,0.661,14.748,121.09,0.134,1.312,,
534,Msoor,7,1,20-Jan-13,17.15," 63,000 ",43.10,7.97,8.31,1.15,2.92,15.465,0.329,0.343,0.884,6.963,118.79,0.300,1.909,,
535,Qassar Noon,1,1,20-Jan-13,16.10," 71,638 ",49.19,7.70,8.27,1.37,3.09,8.931,4.435,0.869,0.148,14.945,121.79,0.167,1.542,,
536,Al Gazara,12,1,21-Jan-13,17.27," 63,429 ",42.86,7.69,8.33,1.35,2.60,14.425,1.766,0.153,1.278,8.608,122.01,0.263,0.669,,
537,Dam,13,1,21-Jan-13,17.27," 63,282 ",42.75,7.64,8.32,1.29,3.09,8.184,1.210,0.193,0.078,7.473,118.79,0.525,0.692,,
538,Fa'ash,11,1,21-Jan-13,17.18," 63,483 ",42.90,7.23,8.30,1.16,2.78,15.336,21.677,1.154,2.232,13.614,122.13,0.121,0.896,,
539,Qita’at Jaradah,14,1,21-Jan-13,17.16," 62,519 ",42.18,7.40,8.13,1.25,1.91,12.719,5.931,0.628,0.196,6.795,122.82,0.652,1.193,,
540,Suhain,10,1,21-Jan-13,16.84," 63,470 ",42.88,6.48,8.25,2.32,2.47,16.472,11.558,0.914,4.016,6.766,122.47,0.210,0.863,,
541,Al Jarim,16,1,22-Jan-13,17.72," 61,701 ",41.55,7.75,8.36,2.09,2.90,17.047,1.707,0.489,1.240,1.384,123.16,0.671,0.560,,
542,Khor fasht,17,1,22-Jan-13,16.87," 66,203 ",44.98,7.69,8.25,1.74,7.10,17.047,0.489,1.707,1.240,1.384,123.16,0.671,0.676,,
543,Marina Club,15,1,22-Jan-13,17.20," 63,967 ",43.30,8.76,8.44,1.76,4.17,17.484,2.059,1.051,7.899,0.000,122.94,1.345,0.896,,
544,Marwada,18,1,22-Jan-13,16.88," 68,645 ",46.88,7.58,8.23,1.43,4.29,15.804,5.020,0.804,1.691,3.078,123.97,0.435,1.026,,
545,Al Jasra,23,1,23-Jan-13,17.64," 74,281 ",51.32,7.39,8.30,1.15,4.30,6.762,5.675,0.875,2.477,12.869,124.60,0.320,0.877,,
546,Bartafi,19,1,23-Jan-13,16.95," 70,025 ",47.94,7.38,8.31,1.19,3.65,7.099,8.679,0.737,0.914,1.770,126.04,0.220,0.572,,
547,Jazirat Ya’suf,22,1,23-Jan-13,17.57," 77,503 ",53.89,7.38,8.29,1.36,4.38,8.660,2.826,0.393,1.874,18.320,126.27,0.215,0.888,,
548,Qassar,20,1,23-Jan-13,17.09," 76,966 ",53.44,7.40,8.29,0.87,2.60,6.664,2.421,0.629,2.260,14.679,125.35,0.290,0.433,,
549,Umm Al na'asan,21,1,23-Jan-13,17.24," 77,441 ",53.82,7.19,8.30,1.59,3.70,5.704,2.384,0.454,1.508,17.537,125.23,0.477,1.477,,
550,Askar,6,2,14-Apr-13,25.96," 64,360 ",43.51,6.03,8.04,3.59,5.16,12.735,12.340,0.596,0.457,56.398,134.55,2.028,,,
551,Bapco,8,2,14-Apr-13,25.35," 63,420 ",42.86,5.96,7.96,3.42,4.64,18.497,18.887,1.756,0.502,42.380,134.85,1.175,1.900,,
552,Fasht Tighalib,4,2,14-Apr-13,ND, ND ,ND,7.82,7.90,0.92,3.08,7.360,8.581,0.523,0.518,22.574,133.79,0.270,,,
553,Ghumais,5,2,14-Apr-13,ND, ND ,ND,7.86,7.83,1.49,2.95,6.621,6.505,0.000,0.582,24.891,128.52,0.077,0.688,,
554,Jabbari,3,2,14-Apr-13,24.96," 65,784 ",44.64,6.45,8.04,1.82,1.99,6.079,7.965,0.702,0.312,34.525,128.67,0.475,,,
555,Mashtan,2,2,14-Apr-13,ND, ND ,ND,7.88,7.92,1.25,2.00,6.806,8.501,0.134,1.194,37.694,128.52,0.306,,,
556,Msoor,7,2,14-Apr-13,ND, ND ,ND,ND,7.35,1.84,3.21,8.108,7.091,0.046,0.964,19.677,128.37,0.644,,,
557,Qassar Noon,1,2,14-Apr-13,ND, ND ,ND,7.68,7.88,1.16,3.02,7.604,10.445,1.022,0.767,50.006,127.61,0.372,,,
558,Al Gaha,9,2,15-Apr-13,25.26," 64,177 ",43.40,7.07,8.12,1.35,4.21,13.520,1.624,1.652,2.529,8.447,133.19,0.620,,,
559,Al Gazara,12,2,15-Apr-13,24.18," 64,156 ",43.40,6.78,8.12,0.80,2.17,10.967,2.213,1.161,0.162,18.130,133.34,0.779,,,
560,Dam,13,2,15-Apr-13,25.41," 64,111 ",43.39,6.65,8.01,0.70,2.34,10.048,4.334,0.379,0.224,10.380,132.74,0.425,,,
561,Fa'ash,11,2,15-Apr-13,24.52," 64,207 ",43.44,6.63,8.10,0.65,1.10,10.946,3.977,1.305,0.559,20.049,133.04,0.661,,,
562,Qita’at Jaradah,14,2,15-Apr-13,25.52," 66,317 ",45.04,6.41,8.09,0.80,2.86,16.082,2.751,0.406,0.179,17.332,131.83,0.918,,,
563,Suhain,10,2,15-Apr-13,24.95," 64,162 ",43.39,6.56,8.10,2.10,3.85,13.340,0.207,1.500,2.005,1.827,128.97,1.188,,,
564,Marina Club,15,2,16-Apr-13,25.44," 64,859 ",43.92,6.71,8.00,1.25,3.59,19.086,2.880,2.490,4.008,5.494,130.33,4.410,,,
565,Al Jasra,23,2,17-Apr-13,26.23," 78,039 ",54.29,5.85,8.12,1.49,3.91,11.123,8.749,0.000,0.874,53.792,123.79,0.000,,,
566,Bartafi,19,2,17-Apr-13,25.39," 73,686 ",50.83,6.48,8.11,1.16,2.90,13.534,19.987,0.386,0.988,16.210,128.97,0.201,0.207,,
567,Jazirat Ya’suf,22,2,17-Apr-13,25.30," 77,420 ",53.82,6.25,8.11,1.25,6.21,10.349,5.568,0.000,0.773,31.639,130.18,0.205,1.088,,
568,Marwada,18,2,17-Apr-13,25.42," 69,201 ",47.29,6.04,8.06,1.56,3.28,13.008,4.382,0.094,0.161,19.857,135.45,0.890,0.836,,
569,Qassar,20,2,17-Apr-13,25.56," 77,407 ",53.79,6.10,8.11,1.01,3.33,11.995,3.472,0.000,4.686,28.199,135.90,0.469,0.547,,
570,Umm Al na'asan,21,2,17-Apr-13,24.72," 77,158 ",53.62,6.28,8.12,1.22,7.45,10.600,8.755,0.000,8.275,25.816,134.09,0.144,,,
571,Al Gaha,9,3,25-Aug-13,34.66," 64,983 ",43.66,5.88,8.21,1.13,4.50,2.012,24.000,2.050,2.431,65.481,125.66,0.854,0.661,0.000,
572,Askar,6,3,25-Aug-13,33.49," 65,150 ",43.84,5.04,8.16,3.34,4.00,6.992,17.080,1.097,1.838,64.387,125.32,2.818,0.881,0.312,
573,Bapco,8,3,25-Aug-13,33.92," 64,193 ",43.15,4.64,8.12,5.25,7.77,8.224,16.340,2.580,1.676,69.073,119.89,2.983,0.922,0.072,
574,Fasht Tighalib,4,3,25-Aug-13,34.26," 65,630 ",44.18,5.48,8.17,2.23,4.23,0.000,9.790,1.635,1.255,22.719,121.36,0.928,0.225,0.000,
575,Ghumais,5,3,25-Aug-13,34.21," 65,808 ",44.31,5.46,8.16,2.21,3.65,2.454,12.510,1.539,1.201,71.916,121.14,0.533,0.886,0.000,
576,Jabbari,3,3,25-Aug-13,34.19," 66,081 ",ND,5.29,8.17,2.42,3.75,9.273,14.500,1.899,0.714,53.531,122.61,0.854,2.006,0.000,
577,Mashtan,2,3,25-Aug-13,33.93," 66,608 ",44.95,5.60,8.18,1.84,3.91,3.378,13.530,0.411,1.311,54.738,124.53,1.071,0.206,0.952,
578,Msoor,7,3,25-Aug-13,35.72," 65,119 ",43.80,4.32,8.13,1.71,4.11,2.723,18.760,1.842,1.401,61.318,125.66,0.604,0.467,0.000,
579,Qassar Noon,1,3,25-Aug-13,34.16," 71,126 ",48.42,4.71,8.10,1.15,5.37,7.177,26.080,4.789,1.863,114.834,123.28,1.021,0.675,0.562,
580,Al Gazara,12,3,26-Aug-13,34.09," 65,059 ",43.73,5.57,8.21,1.06,3.33,5.194,8.110,0.000,0.250,58.160,124.87,0.136,0.216,0.000,
581,Dam,13,3,26-Aug-13,33.88," 64,658 ",43.44,5.38,8.20,0.70,2.38,9.226,12.880,0.000,1.382,62.508,123.62,0.179,0.116,0.012,
582,Fa'ash,11,3,26-Aug-13,34.11," 64,797 ",43.54,5.30,8.22,1.15,3.83,8.668,11.150,0.000,0.768,64.123,122.27,0.579,0.219,0.000,
583,Marina Club,15,3,26-Aug-13,33.93," 65,216 ",43.87,5.26,8.01,1.91,4.00,28.747,17.430,1.159,2.329,69.298,119.55,2.967,0.466,0.082,
584,Qita’at Jaradah,14,3,26-Aug-13,33.62," 65,802 ",44.34,3.61,8.08,0.90,2.16,5.797,42.000,0.246,0.408,47.334,120.23,0.236,0.678,0.000,
585,Suhain,10,3,26-Aug-13,34.25," 64,822 ",43.55,5.22,8.18,3.35,6.15,8.283,11.600,0.301,1.911,67.401,122.38,0.462,0.449,0.000,
586,Al Jarim,16,3,27-Aug-13,33.33," 63,778 ",42.74,5.09,8.12,1.76,5.16,7.646,8.930,0.729,0.084,63.190,122.16,0.700,0.420,0.000,
587,Khor fasht,17,3,27-Aug-13,33.05," 69,082 ",46.91,4.61,8.10,2.91,6.28,5.360,21.610,1.420,0.348,51.939,125.88,1.227,0.226,0.000,
588,Marwada,18,3,27-Aug-13,33.55," 69,980 ",47.60,5.19,8.13,1.82,5.59,1.832,12.640,0.864,0.091,41.641,126.22,0.892,0.451,,
589,Al Jasra,23,3,28-Aug-13,32.98," 78,640 ",54.51,5.10,8.19,8.97,23.00,31.574,2.120,0.688,0.953,112.322,124.53,1.670,0.435,1.682,
590,Bartafi,19,3,28-Aug-13,32.65," 74,096 ",50.94,4.38,7.96,1.73,14.00,23.934,49.010,2.174,0.292,47.070,127.58,0.327,0.409,,
591,Jazirat Ya’suf,22,3,28-Aug-13,32.96," 78,972 ",54.74,5.29,8.11,1.74,5.36,29.255,1.410,0.730,0.864,152.137,127.24,0.798,0.212,0.962,
592,Qassar,20,3,28-Aug-13,33.15," 74,707 ",54.53,5.05,8.16,1.14,5.76,29.187,1.410,0.446,2.494,135.103,128.25,0.901,0.217,2.122,
593,Umm Al na'asan,21,3,28-Aug-13,32.97," 78,592 ",54.44,4.93,8.12,1.46,4.68,27.380,7.640,0.929,1.375,137.308,130.97,1.248,0.597,,
594,Al Gaha,9,4,3-Nov-13,27.08," 64,391 ",43.51,5.45,8.27,3.11,4.73,4.830,18.420,0.936,2.650,37.596,122.27,0.497,0.563,1.448,
595,Askar,6,4,3-Nov-13,27.37," 64,663 ",43.71,6.12,8.13,4.14,6.91,1.249,48.624,0.646,2.131,28.191,121.59,0.887,0.675,0.108,
596,Bapco,8,4,3-Nov-13,27.52," 63,178 ",42.66,4.25,7.99,5.71,8.32,10.882,51.086,2.932,2.887,58.989,121.70,0.668,1.164,0.000,
597,Fasht Tighalib,4,4,3-Nov-13,27.00," 65,944 ",44.71,6.49,8.18,1.57,3.14,4.851,11.242,0.446,1.154,34.216,122.83,0.469,1.125,1.068,
598,Ghumais,5,4,3-Nov-13,26.78," 65,866 ",44.66,6.17,8.21,1.22,3.63,4.621,13.408,0.316,1.177,34.082,120.34,0.507,0.863,0.328,
599,Jabbari,3,4,3-Nov-13,26.79," 66,239 ",ND,6.03,8.13,1.43,3.40,2.130,29.613,0.635,0.342,39.493,122.38,0.406,0.270,0.000,
600,Mashtan,2,4,3-Nov-13,27.03," 66,196 ",44.90,6.48,8.19,0.72,3.78,2.253,22.223,0.000,1.546,42.707,123.17,0.394,0.744,0.208,
601,Msoor,7,4,3-Nov-13,27.20," 64,551 ",43.63,5.20,8.22,2.41,4.19,5.527,15.207,0.000,1.717,28.814,121.25,0.328,1.480,1.468,
602,Qassar Noon,1,4,3-Nov-13,27.01," 67,929 ",46.25,5.86,8.14,0.64,3.60,4.835,24.670,2.073,0.599,43.321,122.38,0.546,0.688,0.000,
603,Al Gazara,12,4,5-Nov-13,26.74," 64,806 ",43.84,5.69,8.28,3.36,5.67,7.697,6.809,0.879,1.828,34.896,122.83,0.651,0.218,0.000,
604,Dam,13,4,5-Nov-13,26.60," 63,489 ",42.84,6.12,8.13,3.44,4.68,8.025,7.814,0.900,0.769,44.840,125.09,0.557,0.770,2.548,
605,Fa'ash,11,4,5-Nov-13,26.70," 64,137 ",43.32,6.00,8.28,3.72,5.45,14.846,12.913,0.963,2.185,52.780,126.67,0.584,0.758,0.388,
606,Marina Club,15,4,5-Nov-13,26.95," 66,510 ",45.14,5.95,8.20,5.32,6.77,36.091,43.267,3.046,10.677,96.996,115.71,1.576,0.688,0.548,
607,Qita’at Jaradah,14,4,5-Nov-13,26.66," 63,498 ",42.83,6.04,8.22,2.20,4.49,6.813,11.900,0.307,1.478,21.933,121.81,0.473,0.225,0.000,
608,Suhain,10,4,5-Nov-13,26.73," 64,275 ",43.43,6.42,8.29,4.03,4.23,16.463,20.204,0.924,3.037,51.652,126.00,1.250,0.627,0.000,
609,Al Jasra,23,4,6-Nov-13,24.91," 76,700 ",53.24,5.96,8.26,2.03,5.29,136.392,23.831,1.703,0.672,42.472,128.03,1.107,0.504,1.748,
610,Jazirat Ya’suf,22,4,6-Nov-13,25.50," 79,281 ",55.29,5.63,8.24,2.32,5.61,7.331,19.952,1.280,1.107,27.549,130.18,0.445,0.696,0.088,
611,Qassar,20,4,6-Nov-13,26.07," 80,195 ",56.03,5.67,8.21,2.12,5.13,46.032,14.741,0.591,1.764,13.998,128.48,0.819,1.022,1.988,
612,Umm Al na'asan,21,4,6-Nov-13,26.23," 79,870 ",55.77,5.55,8.24,1.73,4.30,5.030,17.037,0.604,0.462,21.794,127.58,0.726,1.017,,
613,Al Jarim,16,4,7-Nov-13,25.74," 61,876 ",41.65,6.16,8.23,1.59,3.30,23.233,13.210,0.806,0.654,25.920,126.33,0.261,0.773,0.000,
614,Bartafi,19,4,7-Nov-13,25.90," 69,473 ",47.54,5.59,7.99,3.16,3.09,0.878,36.120,1.312,0.302,33.986,123.28,0.548,1.288,,
615,Khor fasht,17,4,7-Nov-13,25.78," 67,371 ",45.85,6.06,8.27,2.71,3.32,11.317,14.248,1.360,0.904,29.089,121.25,0.628,0.574,0.000,
616,Marwada,18,4,7-Nov-13,25.69," 67,998 ",46.34,6.07,8.24,2.40,4.39,8.500,16.461,1.218,0.679,24.747,120.23,0.854,0.552,,
617,Al Gaha,9,1,19-Jan-14,16.55," 64,112 ",43.37,7.13,8.25,1.74,3.09,11.820,10.560,0.310,1.540,14.330,122.49,0.669,0.300,0.000,
618,Askar,6,1,19-Jan-14,16.84," 64,292 ",43.51,7.31,8.08,2.14,3.20,13.090,17.090,1.180,3.220,57.880,122.04,0.105,1.900,,
619,Bapco,8,1,19-Jan-14,16.75," 63,272 ",42.76,7.16,7.88,3.22,4.90,17.820,29.750,1.240,6.530,23.240,122.04,1.474,2.700,0.000,
620,Fasht Tighalib,4,1,19-Jan-14,16.34," 65,984 ",44.80,7.11,8.19,1.31,3.32,10.400,9.800,0.330,0.040,12.220,123.85,0.257,0.400,1.000,
621,Ghumais,5,1,19-Jan-14,16.35," 65,556 ",44.47,7.13,8.16,2.29,3.49,9.530,8.010,0.590,0.000,9.040,119.55,0.653,0.300,1.000,
622,Jabbari,3,1,19-Jan-14,16.19," 66,310 ",45.01,7.37,8.12,1.01,3.20,8.910,14.480,0.150,0.040,16.420,122.83,1.219,0.900,0.000,
623,Mashtan,2,1,19-Jan-14,16.13," 66,582 ",45.27,7.35,8.13,1.62,4.29,11.130,6.530,0.260,0.000,11.720,122.61,0.437,0.300,0.000,
624,Msoor,7,1,19-Jan-14,16.04," 64,405 ",43.58,7.25,8.17,2.23,4.15,10.710,9.930,0.470,1.010,12.950,122.72,0.676,0.400,0.000,
625,Qassar Noon,1,1,19-Jan-14,16.30," 69,007 ",47.14,7.26,8.10,1.06,4.29,8.340,10.320,0.210,0.000,9.080,121.14,0.201,0.600,0.000,
626,Al Gazara,12,1,20-Jan-14,16.91," 63,857 ",43.18,7.58,8.24,1.45,3.19,21.920,8.040,0.030,0.590,15.150,121.14,0.693,0.200,0.000,
627,Dam,13,1,20-Jan-14,16.82," 63,777 ",43.12,7.34,8.24,1.65,4.89,18.780,8.170,0.040,0.340,14.710,125.43,0.255,0.300,0.000,
628,Fa'ash,11,1,20-Jan-14,16.87," 63,936 ",43.24,7.63,8.24,1.19,3.05,20.940,8.540,0.450,0.520,12.490,124.98,0.932,0.700,0.000,
629,Marina Club,15,1,20-Jan-14,16.75," 65,128 ",44.17,7.91,7.97,3.32,2.43,24.280,14.110,0.700,3.040,23.970,120.23,1.866,0.600,0.000,
630,Qita’at Jaradah,14,1,20-Jan-14,16.66," 63,827 ",43.15,7.35,8.24,2.07,2.96,18.710,7.220,0.330,0.230,10.560,126.33,0.492,0.300,0.000,
631,Suhain,10,1,20-Jan-14,16.91," 63,918 ",43.23,7.48,8.23,1.75,3.79,21.480,10.180,0.870,2.510,10.800,125.43,1.901,0.300,0.000,
632,Al Jasra,23,1,21-Jan-14,16.69," 75,275 ",52.06,7.28,8.13,1.52,3.76,2.190,9.400,0.410,0.350,12.380,124.75,0.391,0.600,0.000,
633,Bartafi,19,1,21-Jan-14,16.23," 70,061 ",47.96,7.26,8.16,1.01,2.26,1.550,12.340,1.070,0.440,23.980,126.67,1.413,0.400,0.000,
634,Gassar,20,1,21-Jan-14,16.31," 79,023 ",55.06,7.07,8.06,1.16,3.43,1.870,9.850,0.430,0.480,21.290,126.00,0.414,0.300,1.000,
635,Jazirat Ya’suf,22,1,21-Jan-14,16.35," 78,837 ",54.91,7.01,8.11,1.11,4.36,2.840,8.550,0.410,0.050,17.440,124.98,0.116,0.400,3.000,
636,Umm Al na'asan,21,1,21-Jan-14,16.48," 78,575 ",54.72,7.37,7.96,1.28,4.74,1.990,9.800,0.080,0.000,27.960,121.81,0.621,0.200,2.000,
637,Al Jarim,16,1,22-Jan-14,16.48," 63,875 ",43.19,8.02,8.02,2.29,5.05,13.630,6.560,0.340,0.290,20.980,120.91,0.316,1.000,0.000,
638,Khor fasht,17,1,22-Jan-14,16.38," 67,350 ",45.85,7.46,8.19,1.14,2.53,11.840,7.230,0.700,0.670,16.780,120.80,0.864,0.600,2.000,
639,Marwada,18,1,22-Jan-14,16.33," 68,080 ",46.42,7.44,8.19,0.98,3.47,14.310,6.380,0.270,1.010,15.860,120.80,0.557,0.500,0.000,
640,Al Gazara,12,2,4-May-14,27.26," 62,930 ",42.38,6.41,8.17,1.94,4.84,3.030,5.940,0.020,0.850,20.030,128.07,0.445,1.200,1.000,
